,N,LL,LL_ignore_attack,L,L_ignore_attack,H,H_ignore_attack,M,M_ignore_attack
0,0.16306713856678426,0.16307248361735383,0.1630850774378644,0.16285781606801886,0.1630105215053377,0.143992324093744,0.15773886178682744,0.16095676105261705,0.16247680408494056
1,0.20256824463917691,0.20255295386303354,0.20256858069296163,0.20228680998789347,0.20247634193033365,0.1792235275328959,0.19632751782343136,0.19996314549787825,0.20185078581133792
2,0.256253908921515,0.256235464491895,0.2562552051289704,0.2559462067033434,0.256185722008337,0.22730822739390869,0.24898122494310598,0.2530641246998943,0.25545088439905905
3,0.2904672727014138,0.29048436539630673,0.2905066870095944,0.29013908156992413,0.29041054362203905,0.26039835243931564,0.28519542095216943,0.28723194526207685,0.2899370278367922
4,0.31580846450807465,0.3157956619812205,0.31581990633931667,0.3154694901592152,0.31576367333933836,0.2849135444810995,0.3119749869677226,0.31250612906879727,0.31544118972648627
5,0.3467073778168575,0.3466610506225986,0.3466874386256301,0.3463577835144049,0.346678237152953,0.3133567857599311,0.34291470680750846,0.3430773544616965,0.3462760927905585
6,0.3737369998533727,0.3737143795035036,0.373742520736979,0.3733764308969941,0.3737184048772843,0.33760397964859384,0.36914613709504346,0.369792395722681,0.37320929939597836
7,0.4084957949284508,0.4084579773846474,0.4084883697400643,0.40807091558335884,0.4084391938695654,0.36869689253506754,0.4025703025653438,0.4041773198478094,0.4078503156207889
8,0.43392768925186653,0.4339375919116702,0.4339694559365402,0.4334999194796972,0.43388664268244587,0.3915362890724818,0.4270225360960247,0.42932561687881954,0.43317390461015426
9,0.4548975734395555,0.4548947358334802,0.45492773826737537,0.45444001510034304,0.45484074834481364,0.41041113299983634,0.44719474061669107,0.45008791464996944,0.454086931697979
10,0.47310139892512554,0.47307145744739415,0.47310570361408233,0.47261402233947725,0.4730287312948178,0.42682909104064176,0.4647314833370094,0.46804121412765026,0.4721673134266246
